Book Id,Title,Author,Additional Authors,ISBN,Average Rating,Publisher,Binding,Number of Pages,Year Published
16793,Stardust,Neil Gaiman,,61142026,4.08,Harper Perennial,Paperback,248,2006
6294,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,,006441034X,4.25,Harper Trophy,Mass Market Paperback,329,2001
49392855,The Two Towers,J.R.R. Tolkien,Alan Lee,8376131,4.45,HarperCollins,Hardcover,385,2020
6568440,Notes from Underground,Fyodor Dostoyevsky,,,4.15,,Kindle Edition,,
54419239,Meet Me in Paradise,Libby Hubscher,,593199421,4.04,Berkley Books,Paperback,352,2021
55583233,The Sea in the Sky,Jackson Musker,,,3.93,"Audible Originals, LLC",Audiobook,,2020
20493888,"Guards! Guards! (Discworld, #8)",Terry Pratchett,,1473200180,4.29,Gollancz,Hardcover,344,2014
34643771,"Going Postal (Discworld, #33)",Terry Pratchett,,857525085,4.36,Doubleday,Hardcover,496,2017
3577453,Golem XIV,Stanisław Lem,Jozef Marušiak,8088965713,4.02,Drewo a srd ,,165,2003
28372019,"The Bookshop on the Corner (Scottish Bookshop, #1)",Jenny Colgan,,62467263,3.84,William Morrow Paperbacks,ebook,384,2016
25480342,A Monster Calls,Patrick Ness,,1406361801,4.32,Walker Books,Paperback,237,2015
894459,The Dispossessed,Ursula K. Le Guin,,575079037,4.2,Gollancz,Paperback,336,2006
1391753,Flowers for Algernon,Daniel Keyes,,575079207,4.15,Gollancz,Paperback,224,2006
56078386,"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,,,4.33,Ethan Ellenberg Literary Agency,Kindle Edition,608,2021
22240844,Escape From Warsaw (Original Title: The Silver Sword),Ian Serraillier,,590401459,4.02,"Scholastic, Inc.",Paperback,218,
1553778,The Emperor and the Nightingale,Alison Ainsworth,"Hans Christian Andersen, Chris Russell",721410545,4.02,Ladybird Books,Hardcover,51,
48117,The Boy Who Made Dragonfly: A Zuni Myth,Tony Hillerman,Janet Grado,826309100,4.17,University of New Mexico Press,Paperback,81,1993
36073085,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,,,4.23,Spectra,Kindle Edition,483,2011
1006559,Pushing Ice,Alastair Reynolds,,575078154,4.05,Gollancz,Paperback,514,2006
912471,Lord of Light,Roger Zelazny,,575079010,4.07,Gollancz,Paperback,320,2006
